#n_clusters: 0, n_segment_len: 0
1.334998474540558255e-01,8.550876475761878467e-03
1.333168847028875226e-01,2.033568916041372104e-02
8.259930980311891435e-01,6.009249954870707899e-01
5.390347727821379054e-02,2.303803537429100455e-03
7.618299057326663459e-02,7.438329645693057650e-03
1.683866617562473633e-01,6.829900263349535094e-02
#n_clusters: 5, n_segment_len: 1
2.148649010291002193e-01,5.979634896183495807e-02
2.642440375904291372e-01,1.509580831761559716e-01
1.948814025902535219e-01,1.105757258293218470e-01
3.906705030553281888e-01,3.902102780205436716e-02
2.583798201982115961e-01,1.910435525994437500e-02
2.693026297000107872e-01,3.487810127691893386e-02
1.146352130399867164e+00,7.592027985636152776e-01
1.135208166800927149e-01,3.734923355700456304e-02
1.472726238366385831e-01,1.683829263715115945e-02
3.075881922891944287e-01,1.097766731638997323e-01
#n_clusters: 5, n_segment_len: 2
2.015749306481566805e-01,6.332100338883890622e-02
3.089332859138266274e-01,1.852206126606278369e-01
1.930093495104472923e-01,1.057391951572201338e-01
6.019008628553921270e-01,5.168641690899475338e-02
3.829426378039030854e-01,2.860002886722397969e-02
3.762186244018977388e-01,6.047914729992266009e-02
1.346188953754224427e+00,8.429663207701743044e-01
1.214928007054854042e-01,1.842564150311251647e-02
1.694443271789247141e-01,1.796095201566493688e-02
4.138948446148009719e-01,1.461583766995624423e-01
#n_clusters: 5, n_segment_len: 3
2.217172440848512172e-01,6.712323467627467899e-02
3.681786527938917253e-01,2.125964708921653512e-01
2.102810088083166828e-01,1.192927074983892721e-01
8.634775906751865904e-01,5.767774827892677841e-02
5.476260031044580812e-01,4.693314647031011227e-02
4.870950861783612251e-01,8.933137094702177372e-02
1.545844078126449528e+00,9.487277934324546136e-01
1.388859891801267066e-01,2.494140431936259228e-02
1.952743934108964186e-01,2.660070276618769700e-02
5.492223040757282515e-01,1.932480734636148612e-01
#n_clusters: 5, n_segment_len: 4
1.954368040524357142e-01,6.555524585651104075e-02
4.386511019158971791e-01,2.642722875575294617e-01
2.304007297796932807e-01,8.373740149626698881e-02
1.121934966434495085e+00,6.998897732402277472e-02
6.402475877386903935e-01,9.144131355186659038e-02
5.846643212222947250e-01,8.650500483486396608e-02
1.826078966950313243e+00,1.089212889036107912e+00
1.397209144880533493e-01,9.357215322350993444e-03
2.285030083046852289e-01,3.867775391402267227e-02
6.729536406173813878e-01,2.499780698545849000e-01
#n_clusters: 5, n_segment_len: 5
2.849148276329581675e-01,8.627575134645640298e-02
5.768922921308841101e-01,2.922658623437839887e-01
3.214660270111466822e-01,1.052254540452013803e-01
1.415889670509328457e+00,7.768685737211983300e-02
8.392284931302547157e-01,1.068945197032335620e-01
7.501083118079208134e-01,6.827482265880582823e-02
2.007163268287517788e+00,1.099706808988313966e+00
2.383703815627329359e-01,1.631009998336355876e-02
3.105042826263459399e-01,4.057877532913580637e-02
8.502174081301876463e-01,2.879336925570503136e-01
#n_clusters: 5, n_segment_len: 6
2.725025503097134871e-01,1.081654115454056403e-01
7.121299195608490340e-01,2.364760924494697658e-01
3.522126883397434516e-01,1.162917970602081463e-01
1.500020405278225555e+00,1.133244372799623312e-01
9.078155722183165466e-01,1.072513306307646130e-01
8.389824637322679246e-01,6.518018783927830018e-02
2.498966441625546597e+00,1.514178504904566847e+00
3.817431872677066740e-01,1.028362996798674461e-01
4.456759832986263992e-01,3.190377565540047922e-02
9.637801481991929986e-01,2.626039299408094996e-01
#n_clusters: 6, n_segment_len: 0
1.057986463998180082e-01,5.122935183212656840e-02
1.519859568049839460e-01,1.030153664142629127e-01
1.053990192860393971e-01,6.893474326933908547e-02
1.270178667910455972e-01,2.456944427619264792e-02
1.068174454556897190e-01,8.455271110672865284e-03
1.155467099880665288e-01,1.895692070017604425e-02
7.170126520015719374e-01,5.350612551161618713e-01
4.238669079391227390e-02,9.979270808018404944e-04
6.349063922071465638e-02,6.693689767195166833e-03
1.429234416462344393e-01,6.082197427061154793e-02
#n_clusters: 6, n_segment_len: 1
2.011607364045076562e-01,5.597262168030514573e-02
2.478302102077827862e-01,1.434210834773970156e-01
1.842398772196970347e-01,1.020179425819926072e-01
3.599854979130864829e-01,3.680228199103063175e-02
2.455394876972758489e-01,1.956964691521590263e-02
2.569694875291929081e-01,3.287731756657061299e-02
1.087506256471982624e+00,7.289008448224857384e-01
1.023404766685349215e-01,3.226008745962297836e-02
1.360263566841833083e-01,1.585573660330692747e-02
2.886054737661023495e-01,1.023880293619240517e-01
#n_clusters: 6, n_segment_len: 2
1.650380604034918375e-01,5.558799576937906856e-02
2.888564598272209683e-01,1.790643468046593800e-01
1.713676271925571315e-01,8.179452001140180561e-02
5.664165943203254283e-01,5.139448280922192386e-02
3.698218059415421255e-01,2.570971976811355780e-02
3.602461773564190062e-01,6.100159615229166360e-02
1.283908664510441167e+00,8.182751686764571097e-01
1.017457993383625303e-01,5.650349601116429893e-03
1.551249261689795489e-01,1.601656784939380421e-02
3.916924439776541256e-01,1.361696420095373228e-01
#n_clusters: 6, n_segment_len: 3
1.589441405842531296e-01,5.974016443217366329e-02
3.358121403883099765e-01,2.074349570636846718e-01
1.741369409093601328e-01,8.277088458681147731e-02
7.845206511621054535e-01,5.730455236055089635e-02
4.889087204023376820e-01,3.793181193082736241e-02
4.522618287786976943e-01,7.800140727100217386e-02
1.470292063359494694e+00,9.143703613755440607e-01
1.080667525188147710e-01,1.666692441844942404e-02
1.794098494120768827e-01,2.400633223017570664e-02
5.037823571601788286e-01,1.797518805904838868e-01
#n_clusters: 6, n_segment_len: 4
1.868119422930147322e-01,6.331706511169232776e-02
4.281942219979223418e-01,2.535283027069552553e-01
2.149850882511677719e-01,8.542862418642412081e-02
1.105751884238832083e+00,7.577979510224353010e-02
6.219611234175274062e-01,8.413565055839518358e-02
5.724227790000941951e-01,8.817269787051303098e-02
1.814071466610529759e+00,1.106497268535751033e+00
1.314461959650229661e-01,1.095193642497309557e-02
2.126158520937269925e-01,3.581166632545948469e-02
6.566430705202984663e-01,2.472285099641934325e-01
#n_clusters: 6, n_segment_len: 5
2.337067098798403797e-01,7.581156343171670253e-02
5.521916807867534027e-01,2.811874769913377814e-01
3.023949899194058877e-01,8.364514569846742686e-02
1.375796859069800870e+00,8.217061061507043018e-02
8.405891013337355444e-01,1.025590668502820713e-01
7.374054316301729139e-01,7.464846364174211601e-02
1.961561058315222539e+00,1.098233749742099974e+00
2.092200352215972947e-01,2.702517033978545438e-02
2.910455999023576767e-01,3.735140805891543764e-02
8.293123878919336223e-01,2.888928264870340157e-01
#n_clusters: 6, n_segment_len: 6
3.943816771977152746e-01,1.494255864728782912e-02
7.086984521355728095e-01,2.368825568345125920e-01
3.963906465823820446e-01,1.033926757528469687e-01
1.503217494500820983e+00,1.157325889511000849e-01
9.177708280859714352e-01,1.067359364845072711e-01
8.327118697794354540e-01,7.534287929642491388e-02
2.448356736193408434e+00,1.491465168899223537e+00
3.972895749953742617e-01,6.906546352156443802e-02
4.136649034653020474e-01,3.002409439781647191e-02
9.524591787027463230e-01,2.666396613254222725e-01
